clcronje@service0 023_tarefa]$ cat 023*out
Iniciando simulação CUDA 3D com perfilamento NSYS...
[CUDA] Passo  292 | Valor central: 84.08991139 | Tempo: 0.001270 s
[CUDA] Passo  293 | Valor central: 84.04093598 | Tempo: 0.001254 s
[CUDA] Passo  294 | Valor central: 83.99199413 | Tempo: 0.001259 s
[CUDA] Passo  295 | Valor central: 83.94308581 | Tempo: 0.001247 s
[CUDA] Passo  296 | Valor central: 83.89421101 | Tempo: 0.001262 s
[CUDA] Passo  297 | Valor central: 83.84536970 | Tempo: 0.001242 s
[CUDA] Passo  298 | Valor central: 83.79656185 | Tempo: 0.001259 s
[CUDA] Passo  299 | Valor central: 83.74778743 | Tempo: 0.001240 s
[CUDA] Passo  300 | Valor central: 83.69904642 | Tempo: 0.001255 s
[CUDA] Passo  301 | Valor central: 83.65033880 | Tempo: 0.001244 s
[CUDA] Passo  302 | Valor central: 83.60166454 | Tempo: 0.001259 s
[CUDA] Passo  303 | Valor central: 83.55302361 | Tempo: 0.001245 s
[CUDA] Passo  304 | Valor central: 83.50441599 | Tempo: 0.001259 s
[CUDA] Passo  305 | Valor central: 83.45584166 | Tempo: 0.001245 s
[CUDA] Passo  306 | Valor central: 83.40730058 | Tempo: 0.001260 s
[CUDA] Passo  307 | Valor central: 83.35879274 | Tempo: 0.001244 s
[CUDA] Passo  308 | Valor central: 83.31031811 | Tempo: 0.001257 s
[CUDA] Passo  309 | Valor central: 83.26187666 | Tempo: 0.001237 s
[CUDA] Passo  310 | Valor central: 83.21346837 | Tempo: 0.001256 s
[CUDA] Passo  311 | Valor central: 83.16509321 | Tempo: 0.001240 s
[CUDA] Passo  312 | Valor central: 83.11675116 | Tempo: 0.001258 s
[CUDA] Passo  313 | Valor central: 83.06844219 | Tempo: 0.001239 s
[CUDA] Passo  314 | Valor central: 83.02016628 | Tempo: 0.001262 s
[CUDA] Passo  315 | Valor central: 82.97192340 | Tempo: 0.001252 s
[CUDA] Passo  316 | Valor central: 82.92371353 | Tempo: 0.001261 s
[CUDA] Passo  317 | Valor central: 82.87553664 | Tempo: 0.001244 s
[CUDA] Passo  318 | Valor central: 82.82739271 | Tempo: 0.001255 s
[CUDA] Passo  319 | Valor central: 82.77928171 | Tempo: 0.001238 s
[CUDA] Passo  320 | Valor central: 82.73120362 | Tempo: 0.001254 s
[CUDA] Passo  321 | Valor central: 82.68315842 | Tempo: 0.001242 s
[CUDA] Passo  322 | Valor central: 82.63514607 | Tempo: 0.001253 s
[CUDA] Passo  323 | Valor central: 82.58716655 | Tempo: 0.001241 s
[CUDA] Passo  324 | Valor central: 82.53921984 | Tempo: 0.001253 s
[CUDA] Passo  325 | Valor central: 82.49130592 | Tempo: 0.001233 s
[CUDA] Passo  326 | Valor central: 82.44342475 | Tempo: 0.001255 s
[CUDA] Passo  327 | Valor central: 82.39557632 | Tempo: 0.001239 s
[CUDA] Passo  328 | Valor central: 82.34776059 | Tempo: 0.001259 s
[CUDA] Passo  329 | Valor central: 82.29997755 | Tempo: 0.001235 s
[CUDA] Passo  330 | Valor central: 82.25222717 | Tempo: 0.001262 s
[CUDA] Passo  331 | Valor central: 82.20450943 | Tempo: 0.001243 s
[CUDA] Passo  332 | Valor central: 82.15682429 | Tempo: 0.001263 s
[CUDA] Passo  333 | Valor central: 82.10917174 | Tempo: 0.001237 s
[CUDA] Passo  334 | Valor central: 82.06155175 | Tempo: 0.001259 s
[CUDA] Passo  335 | Valor central: 82.01396429 | Tempo: 0.001240 s
[CUDA] Passo  336 | Valor central: 81.96640935 | Tempo: 0.001259 s
[CUDA] Passo  337 | Valor central: 81.91888689 | Tempo: 0.001237 s
[CUDA] Passo  338 | Valor central: 81.87139690 | Tempo: 0.001258 s
